Geometry_Section,Atom_Number,Element,X_Angstrom,Y_Angstrom,Z_Angstrom
2,171,H,11.321865,4.591999,4.952643
2,172,H,8.798346,4.335399,5.229918
2,173,H,6.718532,4.000222,3.811447
2,174,H,4.991662,2.285787,2.752323
2,175,H,5.721718,-0.22847,2.328587
2,176,H,8.182755,-1.016993,2.906202
2,177,H,12.536562,-0.711337,2.734813
2,178,H,14.736389,0.470796,1.82114
2,179,H,15.008905,3.098584,1.999228
2,180,H,13.145477,4.551624,3.19241
2,181,H,11.833114,-2.533788,4.965858
2,182,H,12.673667,-0.906493,4.439299
3,1,C,-1.990919,0.933997,1.328886
3,2,C,-1.290661,-0.425684,1.303739
3,3,C,0.232218,-0.530058,1.116803
3,4,C,1.076473,0.724872,0.981691
3,5,C,0.405133,2.082302,1.010833
3,6,C,-1.120865,2.18302,1.172714
3,7,C,2.606386,0.621517,0.816266
3,8,C,3.449804,1.898998,0.699432
3,9,C,2.780345,3.274665,0.751229
3,10,C,1.263447,3.350481,0.883369
3,11,C,4.945213,1.777658,0.37885
3,12,C,5.810101,3.027174,0.28895
3,13,C,5.179986,4.402524,0.447039
3,14,C,3.659899,4.53758,0.653264
3,15,C,7.309565,2.897327,0.035769
3,16,C,8.190502,4.136669,-0.048351
3,17,C,7.574085,5.499417,0.148576
3,18,C,6.084336,5.63537,0.393547
3,19,C,9.681375,4.014146,-0.317983
3,20,C,10.572839,5.24789,-0.6032
3,21,C,9.957795,6.594453,-0.170243
3,22,C,8.479605,6.724897,0.133645
3,23,C,12.037098,5.142168,-0.074418
3,24,C,12.910901,6.277975,-0.690675
3,25,C,12.337086,7.693982,-0.377457
3,26,C,10.868232,7.817424,-0.05255
3,27,C,0.925199,-1.894813,1.050167
3,28,C,2.417886,-1.99851,0.750798
3,29,C,3.251598,-0.745321,0.573756
3,30,C,4.708226,-0.845495,0.169692
3,31,C,5.566026,0.410915,0.166625
3,32,C,7.065129,0.275735,-0.044804
3,33,C,7.93332,1.525877,-0.121027
3,34,C,9.427407,1.402231,-0.32599
3,35,C,10.301298,2.643646,-0.376031
3,36,C,11.810543,2.519117,-0.470853
3,37,C,12.680718,3.754431,-0.344684
3,38,C,14.189541,3.59247,-0.367832
3,39,C,15.065014,4.823566,-0.234432
3,40,C,14.391099,6.172812,-0.25278
3,41,C,3.102778,-3.344807,0.630072
3,42,C,4.551379,-3.43838,0.157696
3,43,C,5.350434,-2.189004,-0.263703
3,44,C,6.833808,-2.357801,0.193817
3,45,C,7.695774,-1.101545,-0.10473
3,46,C,9.192498,-1.220882,-0.396898
3,47,C,10.05626,0.031451,-0.466386
3,48,C,11.551181,-0.083214,-0.638582
3,49,C,12.439977,1.145847,-0.58258
3,50,C,13.950991,0.987317,-0.539467
3,51,C,14.825191,2.213531,-0.41167
3,52,C,16.338979,2.054879,-0.207731
3,53,C,17.223831,3.294225,-0.095024
3,54,C,16.58323,4.672026,-0.096397
3,55,C,5.2199,-4.786623,0.07568
3,56,C,6.593053,-4.912961,-0.599818
3,57,C,7.471506,-3.683065,-0.307723
3,58,C,8.962298,-3.80724,-0.508319
3,59,C,9.830841,-2.577138,-0.57366
3,60,C,11.337331,-2.731404,-0.820859
3,61,C,12.177983,-1.452978,-0.813664
3,62,C,13.677294,-1.631288,-0.568388
3,63,C,14.572759,-0.410449,-0.479016
3,64,C,16.062059,-0.577181,-0.237665
3,65,C,16.953769,0.651723,-0.101854
3,66,C,18.472911,0.48538,0.067345
3,67,C,19.354171,1.717366,0.13259
3,68,C,18.734394,3.113412,0.045664
3,69,C,7.267877,-6.257912,-0.241235
3,70,C,8.763898,-6.422336,-0.369659
3,71,C,9.614462,-5.179998,-0.627041
3,72,C,11.089563,-5.313635,-0.935976
3,73,C,12.022659,-4.087793,-1.069277
3,74,C,13.277556,-4.217933,-0.172469
3,75,C,14.241211,-3.0083,-0.300211
3,76,C,15.747644,-3.169392,-0.117876
3,77,C,16.661183,-1.954955,-0.07478
3,78,C,18.169497,-2.117177,0.156026
3,79,C,19.089125,-0.898879,0.213365
3,80,C,20.60782,-1.068144,0.436239
3,81,C,21.485042,0.167303,0.454839
3,82,C,20.861709,1.54441,0.311799
3,83,C,9.464335,-7.786672,-0.208498
3,84,C,10.930752,-7.883247,-0.539282
